Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Define conflict rule set with client,SH-27,10094,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Leah Smith,712020:5dc48e9b-597d-4549-a106-60758bfac1de,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:38 PM,02/Sep/26 10:42 PM,,,0,Conflict_Detection,"Research and document the exact conflict-of-interest rules from California Government Code Section 87100 and FPPC regulations. Define what constitutes a reportable financial conflict for each Form 700 schedule type against a meeting agenda item. Present to the client and get written approval before any detection engine code is written.

Acceptance criteria — definition of done

* {color:#ffffff}A document /docs/conflict_rules.md defines a conflict rule for each schedule type: A (investments), B (real estate), C/D/E (income, gifts, travel), and A-2 (business positions){color}
* {color:#ffffff}Each rule specifies the triggering condition, the dollar threshold if applicable, and the FPPC code section it references{color}
* {color:#ffffff}Client has reviewed and provided written approval — email confirmation is sufficient{color}
* {color:#ffffff}Document is committed to the repo and linked from the main README{color}
* {color:#ffffff}Every team member has read the document before detection engine coding begins{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0005b:,SH Sprint 5,,3.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
Conflict engine — investment vs agenda item,SH-28,10095,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Ishkaram Gill,712020:401af73f-83b2-4880-a782-5d9917dceefb,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:39 PM,02/Sep/26 10:44 PM,,,0,Conflict_Detection,"Query: for each agenda item, find politicians with Form 700 stock holdings in any named entity. Flag matches.",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0005j:,SH Sprint 5,,8.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
"Conflict engine — real estate, income, gifts & business positions",SH-29,10096,Story,In Progress,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:39 PM,02/Sep/26 10:42 PM,,,0,Conflict_Detection,Flag cases where a politician owns property in the geographic area directly affected by an agenda item.,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0005r:,SH Sprint 5,,8.0,,,10957,SH-175,191 Epic,In Progress,02/Sep/26 10:01 PM
Conflict severity scoring,SH-31,10098,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Rhys Honaker,712020:10af4543-7f78-410a-85fa-e6031feeb606,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:39 PM,,,,0,Conflict_Detection,Assign LOW/MEDIUM/HIGH severity scores to flagged conflicts based on dollar thresholds defined in FPPC rules.,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i00067:,SH Sprint 5,,5.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
Conflicts table in DB,SH-32,10099,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Mao Vang,712020:bf67980c-d12e-4cb4-9dd5-6ddf84957db8,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:39 PM,02/Sep/26 10:37 PM,,,0,Conflict_Detection,"Design and migrate conflicts table: politician_id, agenda_item_id, conflict_type, severity, rule_reference, detected_at.",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0006f:,SH Sprint 5,,3.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
Nightly re-sync scheduler,SH-33,10100,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Luis Meza,712020:668fa5ad-9613-441a-a76c-2097d6335234,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:40 PM,,,,0,Data_Ingestion,"Build the automated nightly pipeline that keeps the system current without admin intervention. Fetches new agendas from all active sources and runs conflict detection only on newly ingested items.

Acceptance criteria — definition of done

* {color:#ffffff}Cron job runs nightly at a configurable time via SYNC_CRON_SCHEDULE env variable (default 2:00am){color}
* {color:#ffffff}Iterates all active data sources and runs an ingestion job per city sequentially via node-cron (no BullMQ/Redis){color}
* {color:#ffffff}After each city ingests, conflict detection is run for newly inserted agenda items only{color}
* {color:#ffffff}Run is logged to sync_logs table: started_at, completed_at, sources_synced, items_ingested, conflicts_detected, errors{color}
* {color:#ffffff}One failing city does not stop the rest of the run{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0006n:,SH Sprint 5,,5.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
Conflict engine unit tests,SH-34,10101,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Karla Ramirez,712020:bdeaa289-0dda-4434-9e5b-2ceb5735860e,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,14/Mar/26 5:56 PM,02/Sep/26 10:40 PM,,,,0,Testing/QA,"Write a comprehensive unit test suite for the entire conflict detection engine using mock DB fixtures — no live data or external API calls required.

Acceptance criteria — definition of done

* {color:#ffffff}Test fixtures in /tests/fixtures/ cover: politician with each schedule type populated, agenda items with matching entities, agenda items with no matches{color}
* {color:#ffffff}Each detector tested for: correct match flagged, non-match not flagged, below-threshold not flagged, duplicate run produces no new rows{color}
* {color:#ffffff}calculateSeverity tested at all threshold boundaries for all conflict types{color}
* {color:#ffffff}npm test runs the full suite in under 30 seconds with all tests passing{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0006v:,SH Sprint 5,,5.0,,,10957,SH-175,191 Epic,To Do,14/Mar/26 5:56 PM
Entity name normalization utility,SH-43,10174,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,Jumana Abdullah,712020:6cc974a9-19c2-458d-bc16-0d3729095c89,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:10 AM,02/Sep/26 10:40 PM,,,,0,Parsing/Processing,"Build the shared utility that normalizes entity names before any comparison. Critical for reducing false negatives from minor naming variations like ""Acme Corp."", ""ACME CORPORATION"", and ""Acme Corp"" all referring to the same entity.

Acceptance criteria — definition of done

* {color:#ffffff}normalizeEntityName(name) is a named exported function in /utils/entityNorm.js — lowercases, trims, removes punctuation, strips common suffixes (LLC, Inc, Corp, Corporation, Ltd, Co, Company){color}
* {color:#ffffff}areSameEntity(nameA, nameB) returns true if normalized names match exactly or Levenshtein similarity is >= 88%{color}
* {color:#ffffff}Unit tests cover: exact match, suffix variation, casing variation, punctuation variation, clearly different names, and empty string{color}
* {color:#ffffff}All detection functions updated to use areSameEntity instead of direct string comparison{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0008n:,SH Sprint 5,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:10 AM
Public conflicts dashboard,SH-44,10175,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build the primary public-facing page. Displays all detected conflicts in a sortable, filterable table. No login required. This is what most users will land on.

Acceptance criteria — definition of done

* {color:#ffffff}Route /conflicts renders the dashboard — fully accessible without login{color}
* {color:#ffffff}Columns: politician name, city, conflict type, severity (color-coded), agenda item summary, detected date{color}
* {color:#ffffff}Filters: city dropdown, conflict type multi-select, severity multi-select, date range picker — all update table without full page reload{color}
* {color:#ffffff}Table sortable by severity and detected date via column header click{color}
* {color:#ffffff}Paginates at 25 rows per page with next/previous controls{color}
* {color:#ffffff}Empty state message shown when filters return zero results{color}
* {color:#ffffff}Page loads and displays first results in under 2 seconds{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0008v:,SH Sprint 6,,8.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Conflict detail page,SH-45,10176,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build the detail page for a single conflict. Accessible from the dashboard. Must be shareable by URL so reviewers can link directly to specific conflicts.

Acceptance criteria — definition of done

* {color:#ffffff}Route /conflicts/:id renders the detail — no login required{color}
* {color:#ffffff}Shows: politician name and district, conflict type and severity badge, the Form 700 schedule entry that triggered the flag (entity name, dollar value, schedule type), full agenda item text, meeting date and city, and FPPC rule reference{color}
* {color:#ffffff}Severity explained in plain English (e.g. ""HIGH — investment value exceeds $10,000 FPPC threshold""){color}
* {color:#ffffff}Back link returns to dashboard preserving previous filter state{color}
* {color:#ffffff}Invalid conflict ID shows a 404 message — not a blank or broken page{color}
* {color:#ffffff}URL opens correctly in an incognito tab without login{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i00093:,SH Sprint 6,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Politician profile & agenda item pages,SH-46,10177,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build two supporting public detail pages: the politician profile showing all filings and conflicts, and the agenda item page showing full text and linked conflicts.

Acceptance criteria — definition of done

* {color:#ffffff}/politicians lists all politicians with name, district, and conflict count — no login required{color}
* {color:#ffffff}/politicians/:id shows full name, district, all Form 700 filings on record, and all flagged conflicts with links to conflict detail{color}
* {color:#ffffff}/agenda/:id shows full agenda item text, meeting date, city, source type, and all linked conflicts{color}
* {color:#ffffff}Both pages show a clear empty state when no conflicts exist{color}
* {color:#ffffff}Both pages accessible without login{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0009b:,SH Sprint 6,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Global search & landing page,SH-47,10178,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build a global search bar accessible from the site header on every page, and a simple public landing page explaining FAIR to new visitors.

Acceptance criteria — definition of done

* {color:#ffffff}Search bar visible in header on all pages — debounced at 300ms{color}
* {color:#ffffff}Results grouped by type: Politicians, Agenda Items, Conflicts — each with a preview and link{color}
* {color:#ffffff}Backed by Postgres tsvector full-text index — not a LIKE query{color}
* {color:#ffffff}Returns results in under 500ms on the seeded dataset{color}
* {color:#ffffff}/about renders a plain-English explanation of FAIR, Form 700, conflict detection, and FPPC contact info — no login required{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0009j:,SH Sprint 6,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Admin panel — Form 700 upload & politician management,SH-48,10179,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build two admin pages: the Form 700 XLSX upload page connecting to the Sprint 3 endpoint, and the politician management interface for maintaining the master list.

Acceptance criteria — definition of done

* {color:#ffffff}/admin/upload — drag-and-drop XLSX upload, progress bar, ingestion result summary, error messages for invalid files. Admin login required.{color}
* {color:#ffffff}Only .xlsx files accepted — other file types rejected with inline error before upload{color}
* {color:#ffffff}On success: shows filing ID, politician matched, schedule record counts, and link to politician profile{color}
* {color:#ffffff}/admin/politicians — lists all politicians with edit/delete actions{color}
* {color:#ffffff}Add/edit form validates name, district, and city before submitting{color}
* {color:#ffffff}Delete blocked if politician has linked filings — shows explanation message{color}
* {color:#ffffff}All admin routes return 401 for unauthenticated requests{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0009r:,SH Sprint 6,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Admin panel — manage data sources,SH-49,10180,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build the admin interface for managing ingestion sources. The client must be able to add a new city for monitoring entirely through the UI — no developer involvement after handoff.

Acceptance criteria — definition of done

* {color:#ffffff}/admin/sources lists all configured sources with type, last sync time, item count, and status{color}
* {color:#ffffff}Add source form accepts: city name, source type (Legistar or Apify), and either a Legistar base URL or Apify actor ID{color}
* {color:#ffffff}Legistar URL validated on save — backend makes a test API call and returns an error if it fails{color}
* {color:#ffffff}Apify actor ID validated against client Apify account via API{color}
* {color:#ffffff}Edit and delete actions available per source — deleting preserves existing ingested records{color}
* {color:#ffffff}""Sync now"" button triggers on-demand ingestion and shows real-time status feedback{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i0009z:,SH Sprint 6,,8.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Manual conflict review & override,SH-50,10181,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build the review workflow so admins can annotate flagged conflicts. All review actions are logged for audit purposes.

Acceptance criteria — definition of done

* {color:#ffffff}Conflict detail page shows a review panel when admin is logged in{color}
* {color:#ffffff}Admin can set status to: Pending, Confirmed conflict, or Not applicable{color}
* {color:#ffffff}Status change requires a mandatory note (minimum 10 characters){color}
* {color:#ffffff}All changes written to a conflict_reviews audit table: admin user, timestamp, old status, new status, note{color}
* {color:#ffffff}Reviewed status and note visible on the public conflict detail page{color}
* {color:#ffffff}Not applicable conflicts visually distinguished on dashboard but not hidden{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000a7:,SH Sprint 6,,3.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
End-to-end test: upload → detect → display,SH-51,10182,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:14 AM,02/Sep/26 10:41 PM,,,,0,Testing/QA,"Automated test exercising the complete system flow with real sample data — the closest thing to a guarantee all pieces work together.

Acceptance criteria — definition of done

* {color:#ffffff}Test uploads a known Form 700 XLSX via POST /api/admin/upload/form700{color}
* {color:#ffffff}Test triggers agenda ingestion for a matching agenda item known to contain a conflicting entity{color}
* {color:#ffffff}Conflict detection runs and a conflict row is inserted with expected type and severity{color}
* {color:#ffffff}GET /conflicts returns the new conflict in the response{color}
* {color:#ffffff}GET /conflicts/:id returns complete and correct detail page data{color}
* {color:#ffffff}Test cleans up all inserted records after completion and runs in under 60 seconds{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000af:,SH Sprint 6,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:14 AM
Conflict false-positive tuning,SH-52,10183,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:18 AM,02/Sep/26 10:41 PM,,,,0,Conflict_Detection,"Run the detection engine against real Form 700 and agenda data, review results with the client, and identify false positives. Adjust matching thresholds and add name exclusion rules for entities that should never trigger a conflict (e.g. ""City of Los Angeles"").

Acceptance criteria — definition of done

* {color:#ffffff}Review session held with client examining at least 30 flagged conflicts from real data{color}
* {color:#ffffff}All false positives documented in /docs/false_positive_log.md with root cause analysis{color}
* {color:#ffffff}Entity exclusion list implemented in /config/conflictRules.js — configurable array of names that never trigger conflicts{color}
* {color:#ffffff}Matching similarity threshold adjusted based on findings, documented with before/after false positive rate{color}
* {color:#ffffff}Client has signed off on tuned results in writing{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000an:,SH Sprint 7,,8.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:18 AM
Export conflicts to CSV,SH-53,10184,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Add a CSV export button to the public conflicts dashboard. Export respects all active filters so the client downloads exactly the subset they are viewing.

Acceptance criteria — definition of done

* {color:#ffffff}""Download CSV"" button visible on the conflicts dashboard{color}
* {color:#ffffff}Downloads fair-conflicts-YYYY-MM-DD.csv{color}
* {color:#ffffff}CSV includes all table columns plus full agenda item text and FPPC rule reference{color}
* {color:#ffffff}Export respects all currently active filters{color}
* {color:#ffffff}Generated server-side at GET /api/conflicts/export?[filter params] and streamed as a file download{color}
* {color:#ffffff}Works correctly for 0, 1, and 500+ row result sets{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000av:,SH Sprint 7,,3.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Export conflict report to PDF,SH-54,10185,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Build a PDF report generator for conflict summaries. The client needs to produce professional reports to share with FPPC stakeholders. Use Puppeteer (free, open source) to render an HTML template to PDF server-side.

Acceptance criteria — definition of done

* {color:#ffffff}/admin/reports page allows scoping a report by: politician, city, date range, or all conflicts{color}
* {color:#ffffff}Generated PDF includes: FAIR header with generation date, filter summary, conflict table with all key fields, and totals by severity{color}
* {color:#ffffff}PDF generated server-side via Puppeteer rendering an HTML template{color}
* {color:#ffffff}Download triggers a file save dialog in the browser{color}
* {color:#ffffff}Report generation completes in under 15 seconds for up to 200 conflicts{color}
* {color:#ffffff}PDF renders correctly in Adobe Reader and Chrome PDF viewer{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000b3:,SH Sprint 7,,8.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Database query optimization,SH-55,10186,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Infastructure/DevOps,"Profile the database under realistic load and fix slow queries before launch. Conflict detection queries do heavy cross-table joins and need proper indexing to stay fast at scale.

Acceptance criteria — definition of done

* {color:#ffffff}EXPLAIN ANALYZE run on all conflict detection queries — top 5 slowest documented{color}
* {color:#ffffff}All foreign key columns used in JOIN conditions have confirmed DB indexes in Prisma schema{color}
* {color:#ffffff}Full-text search columns have tsvector indexes{color}
* {color:#ffffff}Prisma connection pool configured for Supabase free tier (max 20 connections){color}
* {color:#ffffff}All conflict detection queries complete in under 500ms on the seeded dataset after optimization{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000bb:,SH Sprint 7,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
